image,split,capture_index,width,height,timestamp_utc,latitude_audit_only,longitude_audit_only,imu_reliability,vehicle_reliability,nearest_sample_offset_ms,complete_sbg_ins_available,existing_label,image_path,metadata_path,image_sha256,metadata_sha256
Cam1_2026-06-09_15-02-35_capt3504_3505.jpg,test,3504,4752,3168,2026-06-09T05:02:34.306000+00:00,-37.7971525343,144.9845968987,0.737590471720665,0.98,-0.9999275207519531,True,False,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\geotagged\cam1\Cam1_2026-06-09_15-02-35_capt3504_3505.jpg,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\experiments\geotagged_cam1_complete_sbg_ins_metadata_v4_20260811\metadata\Cam1_2026-06-09_15-02-35_capt3504_3505.json,17a12e40794beb2bb2cd3aed61fdaac0e20dfd9bb7125380bea78e5a66dab63b,98d457f24611806602e6bdbaac1ffe509e27328e0b8e339b412bdaedab209cd1
Cam1_2026-06-09_15-02-36_capt3512_3513.jpg,test,3512,4752,3168,2026-06-09T05:02:35.305000+00:00,-37.797152713,144.9845969354,0.9008819774079692,0.98,0.0,True,False,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\geotagged\cam1\Cam1_2026-06-09_15-02-36_capt3512_3513.jpg,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\experiments\geotagged_cam1_complete_sbg_ins_metadata_v4_20260811\metadata\Cam1_2026-06-09_15-02-36_capt3512_3513.json,af8847216c540bd963bfec35742fbf1bc6f1458e4f2c598d4e03e02bf14770e5,368132ca46e52c5287cfef9a683eddee5d984b8859a82d8074f7dba69cf29358
Cam1_2026-06-09_15-02-37_capt3521_3522.jpg,test,3521,4752,3168,2026-06-09T05:02:36.430000+00:00,-37.7971527138,144.98459694,0.9010321369171488,0.98,0.0,True,False,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\geotagged\cam1\Cam1_2026-06-09_15-02-37_capt3521_3522.jpg,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\experiments\geotagged_cam1_complete_sbg_ins_metadata_v4_20260811\metadata\Cam1_2026-06-09_15-02-37_capt3521_3522.json,cf6a939665605afaf3d10057d2019e4a77b787245df8805ca3c6dd8d7eedd620,1e4dca804d9799ed933b7014126e23b99040f0b3367ffb5a0ba41a0977b25d87
Cam1_2026-06-09_15-02-38_capt3530_3531.jpg,test,3530,4752,3168,2026-06-09T05:02:37.555000+00:00,-37.79715336,144.984596858,0.9010321369171488,0.98,0.0,True,False,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\geotagged\cam1\Cam1_2026-06-09_15-02-38_capt3530_3531.jpg,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\experiments\geotagged_cam1_complete_sbg_ins_metadata_v4_20260811\metadata\Cam1_2026-06-09_15-02-38_capt3530_3531.json,dfd1419c934080b4417a88a0249336a6c19368d71f745157002c5c08f5deb6f3,76d22bfd41e2767d3d10650686c9134600f77c7154b0c112206d64a50f068e3c
Cam1_2026-06-09_15-02-39_capt3538_3539.jpg,test,3538,4752,3168,2026-06-09T05:02:38.555000+00:00,-37.7971583097,144.9845961724,0.9010321369171488,0.98,0.0,True,False,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\geotagged\cam1\Cam1_2026-06-09_15-02-39_capt3538_3539.jpg,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\experiments\geotagged_cam1_complete_sbg_ins_metadata_v4_20260811\metadata\Cam1_2026-06-09_15-02-39_capt3538_3539.json,cb0d2c1f3ed7f15705695f90e9da32a9447a08f2a69632d689d38e1a1c00f7a0,070f6cef42770cbc0fc94156920429b68b9ac86e955b270d301d64b62b015a18
Cam1_2026-06-09_15-02-40_capt3547_3548.jpg,test,3547,4752,3168,2026-06-09T05:02:39.680000+00:00,-37.7971661617,144.9845951635,0.9010321369171488,0.98,0.0,True,False,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\geotagged\cam1\Cam1_2026-06-09_15-02-40_capt3547_3548.jpg,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\experiments\geotagged_cam1_complete_sbg_ins_metadata_v4_20260811\metadata\Cam1_2026-06-09_15-02-40_capt3547_3548.json,04632e43c89bb85cf8f1c133d2a934bda169f1020c60f4421b5923d495a36cf8,e6f888d8da2c3ae4c07d9ea02f9477ee2a77b209d105edb8157253567adc2b2e
Cam1_2026-06-09_15-02-42_capt3556_3557.jpg,test,3556,4752,3168,2026-06-09T05:02:40.805000+00:00,-37.797168308,144.9845948783,0.9010321369171488,0.98,0.0,True,False,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\geotagged\cam1\Cam1_2026-06-09_15-02-42_capt3556_3557.jpg,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\experiments\geotagged_cam1_complete_sbg_ins_metadata_v4_20260811\metadata\Cam1_2026-06-09_15-02-42_capt3556_3557.json,b0faddfa67b517278f532cb2c6653574cfb9122b6a8caaecaa2c146d56d0ee19,255ce6c227db28c4cc2b9a00f56acc1b9719428a036dd2f5618f6c2b459e0ac9
Cam1_2026-06-09_15-02-42_capt3564_3565.jpg,test,3564,4752,3168,2026-06-09T05:02:41.804000+00:00,-37.7971683265,144.9845948817,0.7376782376327267,0.98,1.0001659393310547,True,False,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\geotagged\cam1\Cam1_2026-06-09_15-02-42_capt3564_3565.jpg,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\experiments\geotagged_cam1_complete_sbg_ins_metadata_v4_20260811\metadata\Cam1_2026-06-09_15-02-42_capt3564_3565.json,4c4788a2ede8aa6746304b55cd835e6311c85b41ab95689477fc8039cabb7292,172917d873716e49c10da62b9cdeb13906580cf387194554eccd8cefcdecb487
Cam1_2026-06-09_15-02-44_capt3573_3574.jpg,test,3573,4752,3168,2026-06-09T05:02:42.930000+00:00,-37.7971683228,144.9845948604,0.9010321369171488,0.98,0.0,True,False,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\geotagged\cam1\Cam1_2026-06-09_15-02-44_capt3573_3574.jpg,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\experiments\geotagged_cam1_complete_sbg_ins_metadata_v4_20260811\metadata\Cam1_2026-06-09_15-02-44_capt3573_3574.json,97f37686b487eaec39bc032a287656381958c0c90653b3054a9ac85bf7186df7,35c62ef8e2094b7be2059c9631fd0e3b2362088fdab045d3d4a9a3d9a640b0bf
Cam1_2026-06-09_15-02-45_capt3582_3583.jpg,test,3582,4752,3168,2026-06-09T05:02:44.055000+00:00,-37.7971683238,144.9845948569,0.9010321369171488,0.98,0.0,True,False,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\geotagged\cam1\Cam1_2026-06-09_15-02-45_capt3582_3583.jpg,C:\Users\61411\Documents\Codex\2026-05-24\i-am-developing-a-new-research\experiments\geotagged_cam1_complete_sbg_ins_metadata_v4_20260811\metadata\Cam1_2026-06-09_15-02-45_capt3582_3583.json,c9345b330d7a5d908636aa5477e36c2b5a4c3298aa9ffe4a477709e3e17cdc4c,abc707762c5164a38a2fa570eb6b3aa0900a74a4a9ecd99775bb23945bbc4c48
